R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
C;Ikone';Fiorentina;13;14;-1;13;14;-1;30;30
C;Dominguez;Bologna;13;8;5;13;9;4;33;35
C;Radonjic;Torino;13;7;6;13;7;6;21;21
C;Moro N.;Bologna;13;5;8;12;6;6;13;14
C;De Roon;Atalanta;12;7;5;12;7;5;22;25
C;Saponara;Fiorentina;12;11;1;12;11;1;17;19
C;Pogba;Juventus;12;24;-12;12;24;-12;10;10
C;Ilic;Torino;12;13;-1;12;13;-1;28;28
C;Ricci S.;Torino;12;7;5;12;7;5;37;37
C;Coulibaly L.;Salernitana;12;6;6;12;6;6;18;18
C;Matheus Henrique;Sassuolo;12;6;6;12;7;5;20;23
C;Mandragora;Fiorentina;11;9;2;11;9;2;22;25
C;Sensi;Monza;11;12;-1;11;12;-1;14;14
C;Barak;Fiorentina;11;22;-11;10;21;-11;21;18
C;Oudin;Lecce;11;5;6;11;5;6;14;14
C;Locatelli;Juventus;10;14;-4;10;14;-4;29;33
C;Kastanos;Salernitana;10;5;5;10;5;5;11;11
C;Castrovilli;Fiorentina;10;9;1;10;9;1;25;25
C;Rovella;Monza;10;3;7;10;3;7;16;17
C;Saelemaekers;Milan;10;8;2;10;8;2;20;18
C;Marin;Empoli;10;7;3;10;8;2;13;15
C;Zalewski;Roma;10;7;3;10;7;3;16;17
C;Bajrami;Sassuolo;10;18;-8;10;17;-7;16;16
C;Ederson D.s.;Atalanta;10;13;-3;10;13;-3;21;21
C;Hjulmand;Lecce;10;6;4;10;7;3;22;26
C;De Ketelaere;Milan;10;21;-11;10;20;-10;12;12
C;Vilhena;Salernitana;10;8;2;10;9;1;21;24
C;Iling Junior;Juventus;10;1;9;10;1;9;3;3
C;Vecino;Lazio;9;6;3;9;7;2;10;11
C;Bourabia;Spezia;9;4;5;9;4;5;12;12
C;Maldini;Spezia;9;2;7;9;2;7;2;2
C;Bove;Roma;9;1;8;9;1;8;5;5
C;Thorstvedt;Sassuolo;9;9;0;9;9;0;8;8
C;Cristante;Roma;8;9;-1;8;9;-1;20;22
C;Bandinelli;Empoli;8;6;2;8;5;3;10;10
C;Walace;Udinese;8;7;1;8;7;1;12;12
C;Soriano;Bologna;8;12;-4;8;12;-4;3;4
C;Schouten;Bologna;8;8;0;8;9;-1;14;16
C;Agudelo;Spezia;8;9;-1;7;8;-1;13;12
C;Akpa Akpro;Empoli;8;2;6;7;3;4;9;9
C;Harroui;Sassuolo;8;2;6;8;2;6;10;10
C;Blin;Lecce;8;2;6;8;2;6;10;10
C;Cataldi;Lazio;7;8;-1;7;8;-1;12;13
C;Duncan;Fiorentina;7;7;0;7;7;0;7;7
C;Cuadrado;Juventus;7;15;-8;7;15;-8;22;22
C;Linetty;Torino;7;5;2;7;4;3;11;11
C;Sottil;Fiorentina;7;8;-1;7;8;-1;10;10
C;Gyasi;Spezia;7;10;-3;7;10;-3;10;10
C;Arslan;Udinese;7;6;1;7;6;1;8;8
C;Galdames;Cremonese;7;3;4;7;3;4;8;8
C;Miretti;Juventus;7;2;5;7;2;5;8;8
C;Castagnetti;Cremonese;7;4;3;7;5;2;5;5
C;Gonzalez J.;Lecce;7;2;5;7;2;5;8;8
C;Grassi;Empoli;6;6;0;6;7;-1;3;4
C;Krunic;Milan;6;7;-1;6;6;0;13;13
C;Haas;Empoli;6;3;3;6;3;3;6;6
C;Leris;Sampdoria;6;3;3;6;3;3;9;9
C;Ekdal;Spezia;6;7;-1;6;7;-1;12;12
C;Meite';Cremonese;6;7;-1;6;8;-2;7;8
C;Duda;Verona;6;9;-3;6;8;-2;13;13
C;Gaetano;Napoli;6;4;2;6;4;2;5;5
C;Esposito Sa.;Spezia;6;5;1;6;6;0;12;12
C;Lopez M.;Sassuolo;6;9;-3;6;10;-4;23;25
C;Tameze;Verona;6;14;-8;6;14;-8;12;13
C;Pobega;Milan;6;9;-3;6;9;-3;10;10
C;Aebischer;Bologna;6;4;2;6;3;3;7;7
C;Bohinen;Salernitana;6;7;-1;6;7;-1;8;9
C;Terracciano F.;Verona;6;1;5;6;1;5;3;3
C;Marcos Antonio;Lazio;6;10;-4;6;11;-5;8;10
C;Ranocchia F.;Monza;6;2;4;6;2;4;6;6
C;Paredes;Juventus;5;13;-8;5;15;-10;8;8
C;Benassi;Cremonese;5;3;2;5;3;2;7;7
C;Machin;Monza;5;4;1;5;4;1;8;8
C;Vignato;Empoli;5;3;2;5;3;2;5;5
C;Winks;Sampdoria;5;6;-1;5;7;-2;8;8
C;Amrabat;Fiorentina;5;8;-3;5;8;-3;14;16
C;Maleh;Lecce;5;3;2;5;3;2;8;8
C;Basic;Lazio;5;5;0;5;4;1;6;6
C;Volpato;Roma;5;1;4;5;1;4;1;1
C;Vignato S.;Monza;5;1;4;5;1;4;1;1
C;Fazzini;Empoli;5;1;4;5;1;4;8;8
C;Rincon;Sampdoria;4;6;-2;4;6;-2;6;6
C;Djuricic;Sampdoria;4;13;-9;4;13;-9;10;10
C;Ndombele';Napoli;4;11;-7;4;11;-7;14;14
C;Nicolussi Caviglia;Salernitana;4;3;1;4;3;1;6;6
C;Henderson L.;Empoli;4;8;-4;4;8;-4;6;6
C;Cuisance;Sampdoria;4;4;0;4;4;0;6;6
C;Ceide;Sassuolo;4;2;2;4;2;2;2;2
C;Pickel;Cremonese;4;4;0;4;4;0;7;7
C;Tahirovic;Roma;4;1;3;4;1;3;3;3
C;Miguel Veloso;Verona;3;6;-3;3;6;-3;7;7
C;Zurkowski;Spezia;3;8;-5;3;8;-5;8;8
C;Obiang;Sassuolo;3;2;1;3;2;1;10;11
C;Askildsen;Lecce;3;3;0;3;3;0;4;4
C;Kovalenko;Spezia;3;7;-4;3;7;-4;5;5
C;Crnigoj;Salernitana;3;5;-2;3;5;-2;6;6
C;Pyyhtia;Bologna;3;1;2;3;1;2;1;1
C;Sulemana I.;Verona;3;1;2;3;1;2;4;4
C;Camara Ma.;Roma;3;7;-4;3;8;-5;3;3
C;Abildgaard;Verona;3;3;0;3;3;0;4;4
C;Gagliardini;Inter;2;8;-6;2;8;-6;4;5
C;Valoti;Monza;2;5;-3;2;5;-3;6;6
C;Bakayoko;Milan;2;2;0;2;2;0;2;2
C;Maggiore;Salernitana;2;10;-8;2;10;-8;8;8
C;Asllani;Inter;2;8;-6;2;8;-6;4;5
C;Sabiri;Sampdoria;2;15;-13;2;15;-13;4;3
C;Zerbin;Napoli;2;1;1;2;1;1;3;3
C;Ilkhan;Sampdoria;2;3;-1;2;3;-1;3;3
C;Paoletti;Sampdoria;2;1;1;2;1;1;1;1
