R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
A;Alvarez A.;Sassuolo;6;14;-8;6;13;-7;7;6
A;Lasagna;Verona;5;11;-6;5;10;-5;10;8
A;Henry;Verona;5;18;-13;5;16;-11;1;1
A;Seck;Torino;4;3;1;4;3;1;6;7
A;Ibrahimovic;Milan;3;13;-10;3;13;-10;9;9
A;Afena-Gyan;Cremonese;3;8;-5;3;8;-5;6;6
A;Gytkjaer;Monza;3;4;-1;3;4;-1;6;6
A;Destro;Empoli;2;18;-16;2;16;-14;8;5
A;Pjaca;Empoli;2;9;-7;2;9;-7;4;4
A;Valencia D.;Salernitana;2;2;0;2;2;0;1;1
A;Pussetto;Sampdoria;1;5;-4;2;6;-4;1;1
A;Braaf;Verona;1;1;0;1;2;-1;6;7
A;Raimondo;Bologna;1;1;0;1;1;0;1;1
A;Cancellieri;Lazio;1;7;-6;1;7;-6;4;4
A;Kaio Jorge;Juventus;1;1;0;1;1;0;1;1
A;De Luca;Sampdoria;1;4;-3;1;4;-3;1;1
A;Voelkerling Persson;Lecce;1;1;0;1;1;0;1;1
A;Montevago;Sampdoria;1;1;0;1;1;0;2;2
A;Krollis;Spezia;1;1;0;1;1;0;2;2
A;Vivaldo;Udinese;1;1;0;1;1;0;1;1
A;Vorlicky;Atalanta;1;1;0;1;1;0;1;1
